City,Temperature (�C),Feels Like (�C),Humidity (%),Weather,Wind Speed (m/s),Country,Date/Time
Chennai,34.67,41.67,70,clear sky,0.89,IN,5/12/2025 16:27
Chennai,34.72,41.72,70,clear sky,0.89,IN,5/12/2025 16:30
Tenkasi,31,35.35,62,few clouds,5.04,IN,5/12/2025 16:30
Madurai,35.48,36.63,35,scattered clouds,3.25,IN,5/12/2025 17:35
Virudhunagar,33.1,35.38,46,broken clouds,4.33,IN,5/12/2025 18:09
Tenkasi,27.86,31.32,77,scattered clouds,4.92,IN,5/12/2025 18:17
Madurai,30.04,32.14,56,overcast clouds,3.31,IN,5/12/2025 18:48
Chennai,32.82,39.82,70,clear sky,0.45,IN,5/12/2025 18:51
Ālangulam,30.58,33.75,59,clear sky,7.63,IN,5/12/2025 18:51
Palani,27.37,28.92,64,few clouds,4.87,IN,5/12/2025 18:51
Coimbatore,25.73,26.08,66,clear sky,2.87,IN,5/12/2025 18:51
Kodaikānāl,13.09,12.83,91,overcast clouds,2.81,IN,5/12/2025 18:51
Tenkasi,27.2,30.19,80,scattered clouds,4.87,IN,5/12/2025 19:40
Virudhunagar,30.51,33.39,58,broken clouds,5.61,IN,5/12/2025 19:40
Chennai,32.53,39.53,71,clear sky,0.45,IN,5/12/2025 19:40
Coimbatore,25.61,26.13,73,clear sky,4.48,IN,5/12/2025 19:41
Kodaikānāl,13.2,12.95,91,overcast clouds,2.89,IN,5/12/2025 19:41
Ooty,12.93,12.65,91,light rain,0.63,IN,5/12/2025 19:41
Trichy,31.48,34.35,54,broken clouds,4.21,IN,5/12/2025 19:41
Nallur,29.27,34.81,77,overcast clouds,7.39,LK,5/12/2025 19:41
Thoothukudi,33.67,38.68,53,broken clouds,5.34,IN,5/12/2025 19:41
Kanyakumari,29.02,34.37,78,clear sky,9.86,IN,5/12/2025 19:41
Nagercoil,29.63,36.63,84,clear sky,6.43,IN,5/12/2025 19:41
Thanjavur,31.09,38.09,75,clear sky,2.24,IN,5/12/2025 19:42
Theni,24.89,25.6,83,moderate rain,3.1,IN,5/12/2025 19:42
Cuddalore,30.14,37.14,78,few clouds,6.98,IN,5/12/2025 19:42
Chidambaram,31.99,37.05,60,clear sky,6.76,IN,5/12/2025 19:42
Texas,17.03,16.49,65,clear sky,2.53,US,5/12/2025 19:42
Washington,7.93,7.27,66,overcast clouds,1.52,US,5/12/2025 19:42
New York,19.4,18.18,30,few clouds,2.68,US,5/12/2025 19:43
Toronto,15.26,14.04,46,clear sky,0.89,CA,5/12/2025 19:43
Mexico,27.2,30.96,87,overcast clouds,0.81,PH,5/12/2025 19:43
Vancouver,9.08,8.78,80,overcast clouds,1.34,CA,5/12/2025 19:43
London,23.12,22.77,49,few clouds,0.89,GB,5/12/2025 19:43
Paris,21.01,20.52,52,overcast clouds,2.81,FR,5/12/2025 19:43
